Date,Open,High,Low,Close,Volume
January 5,228.9,228.9,219.7,220.2,1385288
January 6,220,224.5,220,222,649643
January 7,225,225.7,220.5,222.2,581843
January 8,223.6,225.2,221.85,223.2,1620167
January 11,224.9,227.35,223.25,225.25,1192628
January 12,226,227.7,222.3,225.75,1001594
January 13,226.9,226.9,222,223.35,859334
January 14,224.85,231.55,223.35,230.05,1046349
January 15,230,238.7,225.6,234.65,1081474
January 18,238,253.25,231.5,240.1,3428109
January 19,238.5,244.5,235.1,243.25,1025087
January 20,244.7,248.5,241.55,245.55,3323544
January 21,248.9,248.9,238,240.6,679039
January 22,250,250.75,230.65,232.95,2500681
January 25,236.45,239.85,225.25,232.05,1033044
January 27,232.6,245.8,227,242.95,1125438
January 28,239,249.4,237.5,248.35,2238459
January 29,250.2,251,242,246.25,1123676
February 1,249,249.4,244.45,247.45,976795
February 2,248.9,255.5,244.15,251.15,2877324
February 3,255.9,255.9,249.2,252.25,955405
February 4,253,258.55,251.7,257.45,699583
February 5,259.5,264.7,254.2,259.95,2755483
February 8,263,264.7,254.6,256.45,1466997
February 9,257.25,282.4,256.65,272.4,6022455
February 10,272,286,268.55,270.65,3867745
February 11,272,323,271.45,300.55,12417564
February 12,303,312,294,298.3,5063230
February 15,300.5,302.45,288,291.5,1894111
February 16,291.5,294,276.6,277.2,1549200
February 17,277,294,277,283.9,3034737
February 18,286.4,302.25,284.7,297.85,2648351
February 19,296.8,300.9,290,295.2,1016429
February 22,293.8,305,290.1,295.25,3686573
February 23,299.7,304,295,297.85,2136311
February 24,298.2,311.8,296,308.35,1316835
February 25,310,310,299.3,301.65,2600332
February 26,295.05,301,286.85,293.35,3056598
March 1,293.85,304.4,292.5,301.05,1455692
March 2,303.6,309,298.2,302.75,1698434
March 3,303.35,306,296,297.45,1149877
March 4,294.8,318.8,294.05,310.55,4366590
March 5,310,319.85,303.7,306.4,2732182
March 8,308.5,313.8,305,307.05,1260592
March 9,309.4,311.9,299.05,301.45,946525
March 10,303.8,317.65,301.8,307.95,2634359
March 12,310.7,349,310.25,328.25,10737005
March 15,331.9,361,331.55,344.2,7867691
March 16,348.85,348.85,337.55,339.7,2270715
March 17,341.9,356.8,340.15,343.85,3915487
March 18,350.7,362.25,342.65,357.4,3874730
March 19,357.4,392.6,355.6,370.9,12679557
March 22,378.3,389,353,356.25,4146941
March 23,358.95,368.6,358.25,360.3,2049607
March 24,358,358.05,343.25,349.85,2956611
March 25,352.5,353,328.25,332.85,4325126
March 26,344,347.7,335.2,339.25,1461722
March 30,347,347.75,338.5,341.3,1256092
March 31,346.9,350.55,329.55,332.8,2544166
April 1,335,348.55,335,347.05,1917324
April 5,348.45,348.45,336,341.6,1929684
April 6,343,367.65,334.2,353.3,5418417
April 7,356.4,362,349.05,354.75,2454162
April 8,356.75,359.85,350.55,351.55,1936596
April 9,351,352.6,345.5,350.1,1170459
April 12,344,345,322.55,337.85,2250162
April 13,338,348,334.55,337.05,1419066
