Date,Open,High,Low,Close,Volume
15-Mar,1370,1379.9,1358.5,1373.6,6658665
16-Mar,1386.05,1406,1380.5,1384,9352771
17-Mar,1392.25,1400,1382,1387,7626744
18-Mar,1393.75,1393.75,1313.5,1337.1,10961755
19-Mar,1330,1355.2,1318,1344.45,12767112
22-Mar,1350.1,1376,1336.1,1370.8,4862758
23-Mar,1372.45,1383.25,1359.6,1371.55,7165335
24-Mar,1357.85,1370.45,1346.25,1353.75,6134303
25-Mar,1346.75,1352.5,1327.6,1333.8,8749994
26-Mar,1344.7,1356.7,1332,1336.2,4922071
30-Mar,1346.9,1400,1336.15,1385.3,10546919
31-Mar,1382,1388,1363.3,1368.05,8220987
1-Apr,1380,1391.6,1371,1385.2,5675155
5-Apr,1391,1425,1387,1409.9,9479572
6-Apr,1423,1426,1406.45,1411.05,5793571
7-Apr,1410.25,1434.95,1406.6,1430.2,5879234
8-Apr,1430,1451.7,1421,1439.85,5654434
9-Apr,1455,1455,1430.05,1441.05,6052712
